Fichier;Périmètre;Octets;Lignes;SHA256;Traitement
"public/uploads/products/.gitkeep";"Assets publics";"0";"1";"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855";"Lu et rapproché des usages, configurations ou exigences du projet"
"scripts/clean-next.mjs";"Scripts opératoires";"123";"5";"0b6deff79917d4395646e2ec1574790de0827d5c5c455abfc24b99ac895f6fda";"Lu et rapproché des usages, configurations ou exigences du projet"
"scripts/seed-catalog.mjs";"Scripts opératoires";"5674";"219";"ff3adbf7b1c9b03175b1a57caa82fe891d6ec0c18502ecca4e68bb73d5ddfa55";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/admin/commandes/actions.ts";"Application active";"2096";"73";"f103656e66be8bd0e75f9c507e6c947b7f50afd1a6e679599ad4059b9eda01c8";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/admin/commandes/page.tsx";"Application active";"5837";"173";"ef61b44184a6d04e8fb4abbf43b710c8f4da6ee5c4095d9bc343b7cb6507fb7a";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/admin/layout.tsx";"Application active";"284";"13";"9bd0c84c07f8427dd231328c70472230165256ca6df8d1b2b826e34a30ae3164";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/admin/page.tsx";"Application active";"1545";"41";"e73c308ffa302c8979aa86371032d5460831118969caccf2749d51faa58325ff";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/admin/produits/[id]/modifier/page.tsx";"Application active";"1808";"59";"1b97197cd451398693d9096c31854738a3bafa4cdcd73bce219fdfb2fb26ab3f";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/admin/produits/actions.ts";"Application active";"10860";"378";"421942f90250d06fc347af3e391735cda6eb1a9d2a8d5045ac2c8668ef0f19f8";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/admin/produits/imparfait/nouveau/page.tsx";"Application active";"1369";"45";"629064bb9e60df15dc5d178bfa63e52f41d07c1dd042f88d00bf4ffdec4cca0a";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/admin/produits/nouveau/page.tsx";"Application active";"1548";"48";"f19d8ec871ed707d4df01de7d67e00ade589f52022632405c0f1dbb7afa78d6e";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/admin/produits/page.tsx";"Application active";"7154";"212";"ef59a8ec98cc565eedc03bf20a9853058354a620d33c02e6c4c60f0ae1e69473";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/api/admin/product-images/upload-url/route.ts";"Application active";"3127";"103";"d1aa2d72339cb3965ae6bbb4ba4bdc357a004945c34bdc98dbff91308bc6ba6d";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/boutique/[slug]/page.tsx";"Application active";"8039";"237";"20d4dfcefe713c0687bed2943fcd9c1110b5c31cab38f26514a471bff324e08f";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/boutique/page.tsx";"Application active";"990";"33";"d3ab0540de7a4a825032704124d530503370e3ab85153dca4147525377e48545";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/cgv/page.tsx";"Application active";"300";"11";"07b7165d66306a112c2fd493449af883ed17d2cd36df5cfa51acf4eec2d46f56";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/confidentialite/page.tsx";"Application active";"313";"11";"b193bcfcf353f568c3b2eedec95294dc3a5d73aba1c41aac8db9904b9881fc82";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/connexion/actions.ts";"Application active";"2581";"101";"9367814fdc69908d8b06b5752580cdf0f85be0a241fad4bd051ac6e6dfc0621b";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/connexion/page.tsx";"Application active";"3238";"104";"6cb02540db86bc9c1165a620b05f8f3b6da5fbcc030cea83817cf5054978a5d7";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/contact/page.tsx";"Application active";"898";"27";"2d94153ef52d25d1a2d1495e77df4b86da13da7e3ab06ebce0c9f6e863d96692";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/globals.css";"Application active";"60584";"3243";"89b145c71296d7ad07101549247ae6f25eaea3a7d60c9ce18dcd9f249e9c6108";"Styles et responsive inspectés ; audit visuel restant"
"src/app/inscription/actions.ts";"Application active";"2019";"72";"12a11a81abda908564371d4cb67eeb5d8403d9d74178ab9e7d26335c208e3d1c";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/inscription/page.tsx";"Application active";"2933";"98";"e5fc7856cd1a475d556253c0bd87fea63bb939d8ce481accce4906aaa6e0060b";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/journal/page.tsx";"Application active";"595";"20";"c123af223acf559977cf31628cc4822ff182682b9df6d8564fba827268c7f6e0";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/layout.tsx";"Application active";"1408";"52";"cf2d07d2fd59070a86f6e95491fa134fb3dcd732f3c700099131e529fc2e27b3";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/loading.tsx";"Application active";"272";"9";"0f6c3aff8e2bd658bddaca1ba388472a920382cfeaf187bcb15c5e8febae6bbc";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/manifest.ts";"Application active";"490";"22";"9cee3a997350077e2207de80ff83964802b2f4186e7544b055ad2ba980cdf959";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/mentions-legales/page.tsx";"Application active";"306";"11";"6ce4205d4b50d13f523600b183e944a288083fb353c3480556aec67585aa567a";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/mot-de-passe-oublie/actions.ts";"Application active";"1558";"59";"cbda51b0cc83e99cd2448a2392d6a2222f21a8a35010a4db033ec53b9b9e2597";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/mot-de-passe-oublie/page.tsx";"Application active";"2306";"69";"6da90530c1de99be511bf54fcc0154079ac60e7d71dc05c2f5fcb2cf1df8bdb3";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/not-found.tsx";"Application active";"527";"19";"275a9f134a54de5b3f24c439bb7f475854e2a5f451e4fa60e1ac344a58e2bb9d";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/nouveau-mot-de-passe/page.tsx";"Application active";"1413";"42";"f22da24a76e6146136073c44150780bcf8c1c7922a01591f2dbf63e5f8c1fd72";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/nouveau-mot-de-passe/password-reset-form.tsx";"Application active";"4364";"150";"0c0ca47f0575a30b4f8ec17bb4ae7abd8e7c3f3d4d252fd64e63fc8d33ce525b";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/page.tsx";"Application active";"4816";"131";"228f800ffa8449b2121ceeb6423376ac955378c600db5903742d3d2ba392a525";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/panier/page.tsx";"Application active";"560";"20";"492a5e7373bbd687b6e81296e5d05b331f2076321c5b8ae0a99fbf585e37080f";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/reparation/page.tsx";"Application active";"904";"27";"33125069b831537222c69a41c1192f1e5dbfdf19b8040d33494185e0b566d9c7";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/savoir-faire/page.tsx";"Application active";"645";"20";"ab848547315c59ca590133c456e21c853aae68986c8394613431496170494489";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/app/sur-mesure/page.tsx";"Application active";"882";"27";"3877e254d7b295c141ff9488ea97ea813e3197bf753104a03495d06b92e2f157";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/admin/admin-order-actions.tsx";"Application active";"2376";"82";"100f3665ef77bcfc7cd8874242339821a555d9b049a106d31deeaa82d87c5984";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/admin/admin-order-creator.tsx";"Application active";"7787";"229";"4efb0ca963f0f96cbff0a065d31125caaa1bebb967713e5f2ae51668049efb4e";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/admin/category-manager.tsx";"Application active";"6475";"170";"f99576cc579244e6892f674fff00f8b571aa77af271b84099ab1b5a2659e61ae";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/admin/imperfect-product-form.tsx";"Application active";"7941";"251";"a25c72670e370a0496482005dcb4494fa5879666da4f51e9ae62797f88ab177b";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/admin/product-form.tsx";"Application active";"21497";"678";"ccfa70833523d7998eb03d199da3976b49914fe8a8bf38aa27eaa74e354649c6";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/admin/product-image-uploader.tsx";"Application active";"10999";"396";"1e5271f1578440d527df8e4d8c6772de565c34e6ea608802227f8eb63ef7d8bc";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/admin/product-row-actions.tsx";"Application active";"9109";"268";"7dde8ed5a42b49804a0358c5298fb1adb8f190ec16a3cced7455039443f3e9ba";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/admin/product-table.tsx";"Application active";"5781";"184";"de1c5421379cdea5812b7461a0328e9943f8b20fc0ff4118b90f616b7342a7c9";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/auth/auth-submit-button.tsx";"Application active";"569";"26";"27f98b42406dd47237009afe8dfc54c06e24c3d39e1879c3df56ca6d1345a490";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/catalog/product-card.tsx";"Application active";"1342";"45";"c65d805bdb4eab8fee1bee38cc1cf05cb57292f22fdae461462437ed57472f50";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/catalog/product-gallery.tsx";"Application active";"2529";"84";"d017739741de27fe95d929801d4d06ce1f7728bda81d01875b559c2973a2e1f0";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/catalog/product-price.tsx";"Application active";"1004";"28";"24c8b34d8ecd5ffd6253e3c1d28bd3fe3565e4dd3ff4bfc44255cb33b91376df";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/layout/route-loading-indicator.tsx";"Application active";"3694";"140";"3c7e72353a5175f62fd6bcfea629e74dcc17550e71c02f0fd9cdbba0d711b606";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/layout/site-footer.tsx";"Application active";"706";"29";"0c87485e582244decedec19ee027cb3ddd00940254e3970c282ce0a1f1abe7af";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/components/layout/site-header.tsx";"Application active";"1630";"51";"41ea16680c2b3c4436a45fea072b2c1c3a4a81cd720423fa89ca1a213d6e0ec3";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/config/site.ts";"Application active";"1261";"43";"910682e8b791db5cec79107c6459a17c153c0ceb8b2021307d632aef19df3c68";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/data/products.ts";"Application active";"3884";"126";"136895757a477ff7bc94fbda1faca9107eb777782a2b3ad85354f6a929054dcf";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/lib/catalog.ts";"Application active";"716";"28";"f670adcd42ac564d1dfad245fe21cc2d37360ac656d5f7fba2da7efb68a503e5";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/lib/format.ts";"Application active";"1332";"57";"46d921e29c56de12300cfcb603500bb67b6a2940c3965f84fab7da42ebed4269";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/lib/slug.ts";"Application active";"463";"22";"e0f2985611f1ef597a20d7d2fb5cf9d25341895cfd7bad3dcb04a755376b5212";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/auth/session.ts";"Application active";"3637";"168";"d2620af38ff0a9f72f53c5a1c93f92fd50f2887ab3f9b2394bd931e4bd467378";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/auth/supabase-auth.ts";"Application active";"6744";"225";"3ad599a71fb9dd5b2b91c052a6d18b7481559b618268e30ecf450e76d9b18d23";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/catalog/catalog.input.ts";"Application active";"20612";"788";"2a3fbc880df3a47509114aa2f52cbc270d04ebafef2fa8bdc3b6ccdb0f74fae6";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/catalog/catalog.mapper.ts";"Application active";"5707";"188";"02bc168682d9264207137f661ed8a238c15b89ea669d2d7dfbce671a666a7b31";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/catalog/catalog.repository.ts";"Application active";"18534";"669";"6466648e879cc77b4d1b59db249af031c2a2e6aec2e9a4eae3c46766a1266e5f";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/catalog/catalog.service.ts";"Application active";"2883";"96";"36265a08ba3515f90936ae3ee20f423bc9cfc68bc9f5902a1ec7eafc9c658f95";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/catalog/product-form-draft.ts";"Application active";"2879";"105";"78318e3ddbfa23660bc559e6fd1f10d818753301afc69a1b5c3a44bfa01960ba";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/catalog/product-image-storage.ts";"Application active";"9329";"315";"2dc8c4a40edc2a6769ff339572e2ff46241c165c5c18985baec5ca8042e6da47";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/db/prisma.ts";"Application active";"623";"22";"7e2c0d714d28f54f1098dbb11dc46437d6457c130e5055c6bb24b433db001790";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/server/security/request-guards.ts";"Application active";"3784";"151";"f26cebe75a4976e0022737d88e64fc0fb79ff0198394ab758236c547878733af";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/types/auth.ts";"Application active";"200";"12";"2c49cdf801403e8e3d23ef429225583500bacf3a032a74c831caaa5ac9244d7f";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/types/catalog.ts";"Application active";"1573";"76";"775bb34f773a6b9b8f3f86504c4744cce6f50ae13612782385879337ef190805";"Lu et rapproché des usages, configurations ou exigences du projet"
"src/types/orders.ts";"Application active";"787";"39";"fdeff510e0a1fb0f9e0f0c4b3a6dcb4c9ec64137f8135c5de0748a3789ba7b88";"Lu et rapproché des usages, configurations ou exigences du projet"
"tsconfig.json";"Configuration projet";"631";"29";"861d1a25a92722c5bfb0703f57f48ef1676c090c281898a08a990a25d2eac6a6";"Lu et rapproché des usages, configurations ou exigences du projet"
"work/figma-implement-features-20260714/ATTRIBUTIONS.md";"Prototype Figma séparé";"290";"4";"7eef0ed2b6fb8a4d85c6217fbcbebfdedc8e4ac286d55920ea8de35167baa89f";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/README.md";"Prototype Figma séparé";"305";"11";"a3471016f7553dc3a278262ffba69ce0f1ee18f8d30111bec2cc46cff5039efa";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/default_shadcn_theme.css";"Prototype Figma séparé";"4319";"121";"54729cdf634fadd501e3c92429ebfabb3f80553157f35051338cbda1337c1bda";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/guidelines/Guidelines.md";"Prototype Figma séparé";"2559";"62";"8a4a52a8fac382f8b44d2f6b713e9643153bd1c732d34ed323d88cb290829257";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/index.html";"Prototype Figma séparé";"685";"22";"7353a77628be0adaff38268a69b4319cb77578d9e46fe30a05074466750688fb";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/package.json";"Prototype Figma séparé";"2571";"90";"52d15119e7988184efbc5aba936fa5f893c146937ccbf04023923583415c3e0d";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/pnpm-workspace.yaml";"Prototype Figma séparé";"109";"11";"1927321dae9a61f07c9e2d2dfe62342594f7d30e5dbc9faab9d39e5dc93112ee";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/postcss.config.mjs";"Prototype Figma séparé";"460";"16";"3bd292996c6442cf7bb3a766e7d512d0aef81d9db108933d68d17c9cd715632c";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/App.tsx";"Prototype Figma séparé";"131623";"2293";"880bce25377ab0e3b36eaee20823fef6f835b4a308240d4bb680c1556c951b26";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/figma/ImageWithFallback.tsx";"Prototype Figma séparé";"1153";"28";"79caaf9d1736698c090823383f7b18a9496e9c1309a40f925c8aeb37e496bd8e";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/accordion.tsx";"Prototype Figma séparé";"2060";"67";"0ff6fadd3560c21aa67911d817f89d206188fd07bd57244ba59a117bd4ff9cb4";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/alert-dialog.tsx";"Prototype Figma séparé";"3866";"158";"16f0bf95de446a8579cba6e75557fd83eb4aa0dbbc77ee936fbb59451e9390e9";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/alert.tsx";"Prototype Figma séparé";"1621";"67";"19835c5f03b78e8915b5e8900a0681ddfb83e3bcc0c9930e62f31c01e4dfb129";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/aspect-ratio.tsx";"Prototype Figma séparé";"284";"12";"7706745e217bebbc2d7bdf6697e9c6d484061146ae771755c9b6f240762c7217";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/avatar.tsx";"Prototype Figma séparé";"1104";"54";"d40b1cbabe71c094c6bcf089ac5702ec77623dbc75c770ca9f86530e03d6fea1";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/badge.tsx";"Prototype Figma séparé";"1636";"47";"8329a0b50f818665f1aca05ab93c16b103178b463f2949234ee4416bbc7d3fe2";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/breadcrumb.tsx";"Prototype Figma séparé";"2368";"110";"c9fcf4df692c80c06ccc38c32f7045d1f389197c503edac32941cde64bada62e";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/button.tsx";"Prototype Figma séparé";"2106";"59";"a3f96150fdf0c929eec3759673cc34b2cf5538fc088b25a54c00e0a3ed1c3f60";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/calendar.tsx";"Prototype Figma séparé";"2913";"76";"280ba2b6416bb46259762fbb0068c61e93f186242516a10c2f319d484b09485d";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/card.tsx";"Prototype Figma séparé";"1988";"93";"afc99cfa090791e394e68766095a4a86f5f6140521546b32d4b298061d72473f";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/carousel.tsx";"Prototype Figma séparé";"5606";"242";"5ffdde6336f0ee479c11255f3b951b230a1771f0080323f4dd0def03d677f50c";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/chart.tsx";"Prototype Figma séparé";"9852";"354";"e3e14ac980ce857edda5414ceaf8d7e504b5be37a4d99c28ff67c4c2535f51ff";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/checkbox.tsx";"Prototype Figma séparé";"1244";"33";"894eb30992723a15e3ae75c46a3bf8808a526f5b3bff2c61c78f4d3e8d521cb8";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/collapsible.tsx";"Prototype Figma séparé";"806";"34";"b763764ebced561c04e2e6ada9dc53375bb90b9f4bcb91b0f3d5de7381aaf0cb";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/command.tsx";"Prototype Figma séparé";"4662";"178";"17ae21889928aeb0c042911153b7f0715bf537b190da31f16fc5798b9439aa2f";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/context-menu.tsx";"Prototype Figma séparé";"8251";"253";"e17a7028f18669ddd104e0f40fbb0110ebab0cfc89ad6910a43d2dc8539e7c22";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/dialog.tsx";"Prototype Figma séparé";"3828";"136";"f4adc0065a7f795b5d99b8afe095a443d2d03b523cf5f958bc36ee7fbe0d3e45";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/drawer.tsx";"Prototype Figma séparé";"4085";"133";"5a99d073185e0ef6d984436547dce1f99c333dde7c1d7f33a2155dce05216514";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/dropdown-menu.tsx";"Prototype Figma séparé";"8313";"258";"798b5337dc147d88c65de01f7221e0bfa04272968a1fce6acc1ec0bef7d9ddb9";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/form.tsx";"Prototype Figma séparé";"3785";"169";"b181a640358bd91b827f7e3ba610036f24a976994d4d88b480471a167770a508";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/hover-card.tsx";"Prototype Figma séparé";"1537";"45";"6ec1ef98aef3898ef3f8eb35e52c10add150d76cd041132d2520fe3016ecfe60";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/input-otp.tsx";"Prototype Figma séparé";"2282";"78";"b15b03f71841b176baa6e0294a0790eea1ffe9264c55003fbbc9039d8457057b";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/input.tsx";"Prototype Figma séparé";"963";"22";"cb82ffcd1a9accdf9b07edc8e976f43ad1c9cf91968ffd7639df5df14b7ad407";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
"work/figma-implement-features-20260714/src/app/components/ui/label.tsx";"Prototype Figma séparé";"614";"25";"5ed157f039340cedaa59a888931db608667827170ae9538513a50ccf2ca65a9f";"Référence uniquement ; exclu du build Next.js et du périmètre livré"
